SampleID,Board,Package,Component,InspectionDefinition,Timestamp,Feature,Defect,GoldenImage,DefectImage
S000016,Board1,32-367595-AAA-RV1,U5,BodyInspection,20260908_144902580,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\32-367595-AAA-RV1\Body\Golden\Board1_U5_Body_32-367595-AAA-RV1_20260908_144902580_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-367595-AAA-RV1\Body\SolderInsuffcient_5\Board1_U5_Body_32-367595-AAA-RV1_20260908_144902580_SolderInsuffcient_5.jpg
S000017,Board1,44-300144-AAA-RV1,Y1,AI2,20260908_144902590,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Text\Golden\Board1_Y1_Text1_44-300144-AAA-RV1_20260908_144902590_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Text\WrongPart_13\Board1_Y1_Text1_44-300144-AAA-RV1_20260908_144902590_WrongPart_13.jpg
S000018,Board1,44-300144-AAA-RV1,Y1,AI2,20260908_144902597,Polarity1,Polarity1_10,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Polarity\Golden\Board1_Y1_Polarity1_44-300144-AAA-RV1_20260908_144902597_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Polarity\Polarity1_10\Board1_Y1_Polarity1_44-300144-AAA-RV1_20260908_144902597_Polarity1_10.jpg
S000019,Board1,18-122241-AAA-RV2-1,R438,AI2|BlobDetection,20260908_144902606,Body,Shift_4,C:\Users\zeyu.wang\Desktop\usi\18-122241-AAA-RV2-1\Body\Golden\Board1_R438_Body_18-122241-AAA-RV2-1_20260908_144902606_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-122241-AAA-RV2-1\Body\Shift_4\Board1_R438_Body_18-122241-AAA-RV2-1_20260908_144902606_Shift_4.jpg
S000020,Board1,06-310691-AAA-RV1,C311,VolumeHeight,20260908_144902610,Lead1,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\06-310691-AAA-RV1\Lead\Golden\Board1_C311_Lead1_06-310691-AAA-RV1_20260908_144902610_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-310691-AAA-RV1\Lead\SolderInsuffcient_5\Board1_C311_Lead1_06-310691-AAA-RV1_20260908_144902610_SolderInsuffcient_5.jpg
S000021,Board1,38-110438-AAA-RV2,D70,AI2,20260908_144902619,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\Golden\Board1_D70_Text1_38-110438-AAA-RV2_20260908_144902619_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\WrongPart_13\Board1_D70_Text1_38-110438-AAA-RV2_20260908_144902619_WrongPart_13.jpg
S000022,Board1,27-000560-AAA-RV1,L4,BodyInspection,20260908_144902630,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\27-000560-AAA-RV1\Body\Golden\Board1_L4_Body_27-000560-AAA-RV1_20260908_144902630_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\27-000560-AAA-RV1\Body\SolderInsuffcient_5\Board1_L4_Body_27-000560-AAA-RV1_20260908_144902630_SolderInsuffcient_5.jpg
S000023,Board1,06-222018-AAA-RV2,C382,BlobDetection,20260908_144902646,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-222018-AAA-RV2\Body\Golden\Board1_C382_Body_06-222018-AAA-RV2_20260908_144902646_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-222018-AAA-RV2\Body\ForeignMaterial_19\Board1_C382_Body_06-222018-AAA-RV2_20260908_144902646_ForeignMaterial_19.jpg
S000024,Board1,06-310691-AAA-RV1,C315,VolumeHeight,20260908_144902663,Lead1,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\06-310691-AAA-RV1\Lead\Golden\Board1_C315_Lead1_06-310691-AAA-RV1_20260908_144902663_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-310691-AAA-RV1\Lead\SolderInsuffcient_5\Board1_C315_Lead1_06-310691-AAA-RV1_20260908_144902663_SolderInsuffcient_5.jpg
S000025,Board1,39-900051-AAA-RV1,U26,VolumeHeight,20260908_144902680,Lead3,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\39-900051-AAA-RV1\Lead\Golden\Board1_U26_Lead3_39-900051-AAA-RV1_20260908_144902680_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\39-900051-AAA-RV1\Lead\SolderInsuffcient_5\Board1_U26_Lead3_39-900051-AAA-RV1_20260908_144902680_SolderInsuffcient_5.jpg
S000026,Board1,32-608052-AAA-RV1,U52,AI2,20260908_144902694,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\32-608052-AAA-RV1\Text\Golden\Board1_U52_Text1_32-608052-AAA-RV1_20260908_144902694_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-608052-AAA-RV1\Text\WrongPart_13\Board1_U52_Text1_32-608052-AAA-RV1_20260908_144902694_WrongPart_13.jpg
S000027,Board1,53-924201-AAA-RV1,J19,AI2,20260908_144902711,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\53-924201-AAA-RV1\Text\Golden\Board1_J19_Text1_53-924201-AAA-RV1_20260908_144902711_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\53-924201-AAA-RV1\Text\WrongPart_13\Board1_J19_Text1_53-924201-AAA-RV1_20260908_144902711_WrongPart_13.jpg
S000028,Board1,32-606014-AAA-RV1,U22,VolumeHeight,20260908_144902725,Lead5,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\32-606014-AAA-RV1\Lead\Golden\Board1_U22_Lead5_32-606014-AAA-RV1_20260908_144902725_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-606014-AAA-RV1\Lead\SolderInsuffcient_5\Board1_U22_Lead5_32-606014-AAA-RV1_20260908_144902725_SolderInsuffcient_5.jpg
S000029,Board1,06-310649-AAA-RV1,C309,BlobDetection,20260908_144902739,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-310649-AAA-RV1\Body\Golden\Board1_C309_Body_06-310649-AAA-RV1_20260908_144902739_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-310649-AAA-RV1\Body\ForeignMaterial_19\Board1_C309_Body_06-310649-AAA-RV1_20260908_144902739_ForeignMaterial_19.jpg
S000030,Board2,18-149003-AAA-RV1-1,R54,AI2|BlobDetection,20260908_144902753,Body,Shift_4,C:\Users\zeyu.wang\Desktop\usi\18-149003-AAA-RV1-1\Body\Golden\Board2_R54_Body_18-149003-AAA-RV1-1_20260908_144902753_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-149003-AAA-RV1-1\Body\Shift_4\Board2_R54_Body_18-149003-AAA-RV1-1_20260908_144902753_Shift_4.jpg
S000031,Board2,06-210488-AAA-RV4,C65,BlobDetection,20260908_144902760,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-210488-AAA-RV4\Body\Golden\Board2_C65_Body_06-210488-AAA-RV4_20260908_144902760_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-210488-AAA-RV4\Body\ForeignMaterial_19\Board2_C65_Body_06-210488-AAA-RV4_20260908_144902760_ForeignMaterial_19.jpg
S000032,Board2,38-110438-AAA-RV2,D15,AI2,20260908_144902781,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\Golden\Board2_D15_Text1_38-110438-AAA-RV2_20260908_144902781_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\WrongPart_13\Board2_D15_Text1_38-110438-AAA-RV2_20260908_144902781_WrongPart_13.jpg
S000033,Board2,06-247398-AAA-RV2,C353,BlobDetection,20260908_144902793,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-247398-AAA-RV2\Body\Golden\Board2_C353_Body_06-247398-AAA-RV2_20260908_144902793_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-247398-AAA-RV2\Body\ForeignMaterial_19\Board2_C353_Body_06-247398-AAA-RV2_20260908_144902793_ForeignMaterial_19.jpg
S000034,Board2,18-400067-05-1,R210,AI2|BlobDetection,20260908_144902810,Body,Shift_4,C:\Users\zeyu.wang\Desktop\usi\18-400067-05-1\Body\Golden\Board2_R210_Body_18-400067-05-1_20260908_144902810_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-400067-05-1\Body\Shift_4\Board2_R210_Body_18-400067-05-1_20260908_144902810_Shift_4.jpg
S000035,Board2,38-110438-AAA-RV2,D13,AI2,20260908_144902829,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\Golden\Board2_D13_Text1_38-110438-AAA-RV2_20260908_144902829_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\WrongPart_13\Board2_D13_Text1_38-110438-AAA-RV2_20260908_144902829_WrongPart_13.jpg
S000036,Board2,14-768710-AAA-RV1,C47,VolumeHeight,20260908_144902846,Lead1,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\14-768710-AAA-RV1\Lead\Golden\Board2_C47_Lead1_14-768710-AAA-RV1_20260908_144902846_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\14-768710-AAA-RV1\Lead\SolderInsuffcient_5\Board2_C47_Lead1_14-768710-AAA-RV1_20260908_144902846_SolderInsuffcient_5.jpg
S000037,Board2,38-110438-AAA-RV2,D70,AI2,20260908_144902859,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\Golden\Board2_D70_Text1_38-110438-AAA-RV2_20260908_144902859_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\38-110438-AAA-RV2\Text\WrongPart_13\Board2_D70_Text1_38-110438-AAA-RV2_20260908_144902859_WrongPart_13.jpg
S000038,Board2,50-204323-01,A6,VolumeHeight,20260908_144902868,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\50-204323-01\Body\Golden\Board2_A6_Body_50-204323-01_20260908_144902868_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\50-204323-01\Body\SolderInsuffcient_5\Board2_A6_Body_50-204323-01_20260908_144902868_SolderInsuffcient_5.jpg
S000039,Board2,44-300144-AAA-RV1,Y1,AI2,20260908_144902882,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Text\Golden\Board2_Y1_Text1_44-300144-AAA-RV1_20260908_144902882_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Text\WrongPart_13\Board2_Y1_Text1_44-300144-AAA-RV1_20260908_144902882_WrongPart_13.jpg
S000040,Board2,44-300144-AAA-RV1,Y1,AI2,20260908_144902893,Polarity1,Polarity1_10,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Polarity\Golden\Board2_Y1_Polarity1_44-300144-AAA-RV1_20260908_144902893_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\44-300144-AAA-RV1\Polarity\Polarity1_10\Board2_Y1_Polarity1_44-300144-AAA-RV1_20260908_144902893_Polarity1_10.jpg
S000041,Board2,18-110333-AAA-RV6-1,R243,AI2|BlobDetection,20260908_144902905,Body,Shift_4,C:\Users\zeyu.wang\Desktop\usi\18-110333-AAA-RV6-1\Body\Golden\Board2_R243_Body_18-110333-AAA-RV6-1_20260908_144902905_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-110333-AAA-RV6-1\Body\Shift_4\Board2_R243_Body_18-110333-AAA-RV6-1_20260908_144902905_Shift_4.jpg
S000042,Board2,32-606013-AAA-RV1,U44,AI2,20260908_144902916,Text1,WrongPart_13,C:\Users\zeyu.wang\Desktop\usi\32-606013-AAA-RV1\Text\Golden\Board2_U44_Text1_32-606013-AAA-RV1_20260908_144902916_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-606013-AAA-RV1\Text\WrongPart_13\Board2_U44_Text1_32-606013-AAA-RV1_20260908_144902916_WrongPart_13.jpg
S000043,Board2,18-110333-AAA-RV6-1,R331,AI2|BlobDetection,20260908_144902927,Body,Shift_4,C:\Users\zeyu.wang\Desktop\usi\18-110333-AAA-RV6-1\Body\Golden\Board2_R331_Body_18-110333-AAA-RV6-1_20260908_144902927_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\18-110333-AAA-RV6-1\Body\Shift_4\Board2_R331_Body_18-110333-AAA-RV6-1_20260908_144902927_Shift_4.jpg
S000044,Board2,32-367595-AAA-RV1,U5,BodyInspection,20260908_144902937,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\32-367595-AAA-RV1\Body\Golden\Board2_U5_Body_32-367595-AAA-RV1_20260908_144902937_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-367595-AAA-RV1\Body\SolderInsuffcient_5\Board2_U5_Body_32-367595-AAA-RV1_20260908_144902937_SolderInsuffcient_5.jpg
S000045,Board2,06-310652-AAA-RV3,C271,BlobDetection,20260908_144902947,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-310652-AAA-RV3\Body\Golden\Board2_C271_Body_06-310652-AAA-RV3_20260908_144902947_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-310652-AAA-RV3\Body\ForeignMaterial_19\Board2_C271_Body_06-310652-AAA-RV3_20260908_144902947_ForeignMaterial_19.jpg
S000046,Board2,30-512623-AAA-RV1,U19,BodyInspection,20260908_144902959,Body,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\30-512623-AAA-RV1\Body\Golden\Board2_U19_Body_30-512623-AAA-RV1_20260908_144902959_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\30-512623-AAA-RV1\Body\SolderInsuffcient_5\Board2_U19_Body_30-512623-AAA-RV1_20260908_144902959_SolderInsuffcient_5.jpg
S000047,Board2,32-976002-AAA-RV1,U27,VolumeHeight,20260908_144902972,Lead7,SolderInsuffcient_5,C:\Users\zeyu.wang\Desktop\usi\32-976002-AAA-RV1\Lead\Golden\Board2_U27_Lead7_32-976002-AAA-RV1_20260908_144902972_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\32-976002-AAA-RV1\Lead\SolderInsuffcient_5\Board2_U27_Lead7_32-976002-AAA-RV1_20260908_144902972_SolderInsuffcient_5.jpg
S000048,Board2,06-233344-AAA-RV1,C333,BlobDetection,20260908_144902985,Body,ForeignMaterial_19,C:\Users\zeyu.wang\Desktop\usi\06-233344-AAA-RV1\Body\Golden\Board2_C333_Body_06-233344-AAA-RV1_20260908_144902985_Golden.jpg,C:\Users\zeyu.wang\Desktop\usi\06-233344-AAA-RV1\Body\ForeignMaterial_19\Board2_C333_Body_06-233344-AAA-RV1_20260908_144902985_ForeignMaterial_19.jpg
